t_days,Ca_uM,YAP_nuclear,NFkB,STAT6,inflam,transit,healing,fbgc_prone,fbgc_risk
0.0389,0.37453,0.59123,0.23986,0.00055,0.38041,0.36505,0.18968,0.00025,0.0
0.0396,0.37688,0.59336,0.24118,0.00056,0.38205,0.36644,0.18905,0.00026,0.0
0.0403,0.37918,0.59541,0.24243,0.00057,0.38362,0.36773,0.18844,0.00026,0.0
0.041,0.38143,0.59739,0.2436,0.00058,0.38512,0.36894,0.18786,0.00026,0.0
0.0417,0.38363,0.5993,0.2447,0.00059,0.38654,0.37007,0.18729,0.00026,0.0
0.0424,0.38578,0.60114,0.24572,0.0006,0.38789,0.37113,0.18674,0.00027,0.0
0.0431,0.38788,0.60291,0.24669,0.00061,0.38918,0.37212,0.18622,0.00027,0.0
0.0438,0.38993,0.60463,0.24759,0.00061,0.39041,0.37303,0.18571,0.00027,0.0
0.0444,0.39194,0.60629,0.24843,0.00062,0.39158,0.37389,0.18521,0.00028,0.0
0.0451,0.3939,0.6079,0.24922,0.00063,0.39269,0.37469,0.18474,0.00028,0.0
0.0458,0.39582,0.60945,0.24996,0.00064,0.39375,0.37543,0.18428,0.00028,0.0
0.0465,0.3977,0.61095,0.25064,0.00065,0.39477,0.37613,0.18383,0.00028,0.0
0.0472,0.39954,0.61241,0.25128,0.00066,0.39573,0.37677,0.1834,0.00029,0.0
0.0479,0.40134,0.61382,0.25188,0.00066,0.39666,0.37737,0.18298,0.00029,0.0
0.0486,0.40309,0.61519,0.25244,0.00067,0.39754,0.37793,0.18258,0.00029,0.0
0.0493,0.40481,0.61652,0.25296,0.00068,0.39838,0.37845,0.18219,0.0003,0.0
0.05,0.40649,0.61781,0.25344,0.00069,0.39919,0.37894,0.18181,0.0003,0.0
0.0507,0.40813,0.61906,0.25389,0.0007,0.39996,0.37939,0.18144,0.0003,0.0
0.0514,0.40974,0.62027,0.25431,0.00071,0.40069,0.3798,0.18108,0.00031,0.0
0.0521,0.41132,0.62145,0.25469,0.00071,0.4014,0.38019,0.18073,0.00031,0.0
0.0528,0.41285,0.62259,0.25506,0.00072,0.40207,0.38055,0.18039,0.00031,0.0
0.0535,0.41436,0.6237,0.25539,0.00073,0.40272,0.38089,0.18007,0.00031,0.0
0.0542,0.41583,0.62479,0.2557,0.00074,0.40334,0.3812,0.17975,0.00032,0.0
0.0549,0.41727,0.62584,0.25599,0.00075,0.40393,0.38149,0.17944,0.00032,0.0
0.0556,0.41868,0.62686,0.25626,0.00075,0.4045,0.38175,0.17914,0.00032,0.0
0.0562,0.42006,0.62786,0.25651,0.00076,0.40505,0.382,0.17884,0.00033,0.0
0.0569,0.42141,0.62882,0.25674,0.00077,0.40557,0.38223,0.17856,0.00033,0.0
0.0576,0.42274,0.62977,0.25695,0.00078,0.40608,0.38245,0.17828,0.00033,0.0
0.0583,0.42403,0.63068,0.25715,0.00079,0.40656,0.38264,0.17801,0.00034,0.0
0.059,0.42529,0.63158,0.25733,0.00079,0.40703,0.38283,0.17775,0.00034,0.0
0.0597,0.42653,0.63245,0.2575,0.0008,0.40748,0.383,0.17749,0.00034,0.0
0.0604,0.42775,0.63329,0.25765,0.00081,0.40791,0.38315,0.17724,0.00035,0.0
0.0611,0.42893,0.63412,0.2578,0.00082,0.40833,0.3833,0.177,0.00035,0.0
0.0618,0.4301,0.63492,0.25793,0.00082,0.40873,0.38344,0.17677,0.00035,0.0
0.0625,0.43123,0.63571,0.25806,0.00083,0.40912,0.38356,0.17654,0.00035,0.0
0.0632,0.43235,0.63647,0.25817,0.00084,0.40949,0.38368,0.17631,0.00036,0.0
0.0639,0.43344,0.63722,0.25828,0.00085,0.40985,0.38379,0.17609,0.00036,0.0
0.0646,0.4345,0.63794,0.25837,0.00085,0.4102,0.38389,0.17588,0.00036,0.0
0.0653,0.43555,0.63865,0.25846,0.00086,0.41054,0.38398,0.17568,0.00037,0.0
0.066,0.43657,0.63934,0.25855,0.00087,0.41086,0.38407,0.17547,0.00037,0.0
0.0667,0.43758,0.64001,0.25862,0.00088,0.41118,0.38414,0.17528,0.00037,0.0
0.0674,0.43856,0.64067,0.25869,0.00088,0.41148,0.38422,0.17509,0.00038,0.0
0.0681,0.43952,0.64131,0.25876,0.00089,0.41178,0.38429,0.1749,0.00038,0.0
